stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
stop_1196_279602,457-02,"Banacha","02",50.101320833,19.963149722,,,0,,,
stop_1196_279603,457-03,"Banacha","03",50.101704722,19.964317500,,,0,,,
stop_1196_279604,457-04,"Banacha","04",50.101799722,19.962594166,,,0,,,
stop_388_54101,248-01,"Bartnicza","01",50.056611388,20.187095277,,,0,,,
stop_388_54102,248-02,"Bartnicza","02",50.056690277,20.186932500,,,0,,,
stop_495_70301,709-01,"Barycz","01",49.985443055,20.002446666,,,0,,,
stop_495_70303,709-03,"Barycz","03",49.984944444,20.002378333,,,0,,,
stop_1019_252801,386-01,"Batalionu ""Skała"" AK","01",50.087928333,19.923458333,,,0,,,
stop_1019_252802,386-02,"Batalionu ""Skała"" AK","02",50.088819166,19.923416388,,,0,,,
stop_1307_296201,2181-01,"Batowice Dłubnia","01",50.113591111,20.021758333,,,0,,,
stop_1307_296202,2181-02,"Batowice Dłubnia","02",50.113927500,20.022528611,,,0,,,
stop_257_35201,2180-01,"Batowice Kapliczka","01",50.111547500,20.016391111,,,0,,,
stop_257_35202,2180-02,"Batowice Kapliczka","02",50.111272777,20.015411111,,,0,,,
stop_1304_295901,2179-01,"Batowice Spławy","01",50.109884166,20.010491388,,,0,,,
stop_1304_295902,2179-02,"Batowice Spławy","02",50.110072777,20.009106944,,,0,,,
stop_1636_312101,693-01,"Bazarowa","01",50.034394722,20.042146666,,,0,,,
stop_1636_312102,693-02,"Bazarowa","02",50.034125000,20.042288888,,,0,,,
stop_1014_251801,304-01,"Benedyktowicza","01",50.047615833,19.889045000,,,0,,,
stop_1014_251802,304-02,"Benedyktowicza","02",50.047653888,19.890946944,,,0,,,
stop_641_92301,832-01,"Beskidzka","01",50.018673611,19.951652777,,,0,,,
stop_641_92302,832-02,"Beskidzka","02",50.018370000,19.951585555,,,0,,,
stop_2816_368601,240-01,"Betonowa","01",50.056350000,20.202353055,,,0,,,
stop_2816_368602,240-02,"Betonowa","02",50.055731666,20.202615277,,,0,,,
stop_682_97801,2326-01,"Bębło Lasek","01",50.183223333,19.777471944,,,0,,,
stop_682_97802,2326-02,"Bębło Lasek","02",50.183136944,19.777275833,,,0,,,
stop_681_97701,2325-01,"Bębło Łabajowa","01",50.179961388,19.785812500,,,0,,,
stop_681_97702,2325-02,"Bębło Łabajowa","02",50.179751388,19.785644166,,,0,,,
stop_680_97601,2324-01,"Bębło Stara Wieś","01",50.184348888,19.792071944,,,0,,,
stop_680_97602,2324-02,"Bębło Stara Wieś","02",50.184634722,19.792467500,,,0,,,
stop_685_98101,2329-01,"Będkowice Borynia","01",50.175874166,19.754401388,,,0,,,
stop_685_98102,2329-02,"Będkowice Borynia","02",50.176023611,19.754633333,,,0,,,
stop_1350_300701,2733-01,"Będkowice Cmentarz","01",50.171230555,19.749509722,,,0,,,
stop_1350_300702,2733-02,"Będkowice Cmentarz","02",50.171606388,19.749583611,,,0,,,
stop_1222_286901,2730-01,"Będkowice Długa","01",50.163741944,19.750313888,,,0,,,
stop_1222_286902,2730-02,"Będkowice Długa","02",50.164220833,19.750518611,,,0,,,
stop_684_98001,2328-01,"Będkowice Kawiory","01",50.179000833,19.763107500,,,0,,,
stop_684_98002,2328-02,"Będkowice Kawiory","02",50.178162222,19.761096111,,,0,,,
stop_683_97901,2327-01,"Będkowice Mosurowa","01",50.180721388,19.767091944,,,0,,,
stop_683_97902,2327-02,"Będkowice Mosurowa","02",50.180703611,19.767210833,,,0,,,
stop_1141_270001,2338-01,"Będkowice Pętla","01",50.158599166,19.747296111,,,0,,,
stop_2504_355101,2330-01,"Będkowice Rynek","01",50.167304444,19.751889722,,,0,,,
stop_2504_355102,2330-02,"Będkowice Rynek","02",50.167915000,19.752238888,,,0,,,
stop_3268_387601,317-01,"Białe Wzgórze","01",50.051534166,19.908677222,,,0,,,
stop_3268_387602,317-02,"Białe Wzgórze","02",50.051533888,19.908999722,,,0,,,
stop_905_127103,781-03,"Białoprądnicka","03",50.094964166,19.935322222,,,0,,,
stop_905_127104,781-04,"Białoprądnicka","04",50.094904444,19.935273611,,,0,,,
stop_99_13003,804-03,"Białucha","03",50.067380555,19.977083055,,,0,,,
stop_99_13004,804-04,"Białucha","04",50.068183611,19.978433055,,,0,,,
stop_2502_354901,2321-01,"Biały Kościół Dolina Kluczwody","01",50.169311666,19.825936111,,,0,,,
stop_2502_354902,2321-02,"Biały Kościół Dolina Kluczwody","02",50.168136111,19.826767777,,,0,,,
stop_2542_355901,2376-01,"Biały Kościół Murownia Pętla","01",50.181106111,19.811826111,,,0,,,
stop_2503_355001,2322-01,"Biały Kościół Murownia","01",50.179585277,19.812647222,,,0,,,
stop_2503_355002,2322-02,"Biały Kościół Murownia","02",50.177745833,19.814616944,,,0,,,
stop_1190_278301,2679-01,"Bibice Cmentarz","01",50.125469166,19.940683611,,,0,,,
stop_1190_278302,2679-02,"Bibice Cmentarz","02",50.125750000,19.942288333,,,0,,,
stop_1305_296001,2176-01,"Bibice Kościuszki","01",50.121417777,19.958791666,,,0,,,
stop_1305_296002,2176-02,"Bibice Kościuszki","02",50.121342500,19.958680833,,,0,,,
stop_2132_336101,2277-01,"Bibice Mokra","01",50.130973888,19.960554722,,,0,,,
stop_2132_336102,2277-02,"Bibice Mokra","02",50.131052222,19.960893055,,,0,,,
stop_2547_359301,2148-01,"Bibice Na Czekaj","01",50.133416388,19.967288611,,,0,,,
